# y, y+, tke, epsilon, grad_u_11, grad_u_12, grad_u_13, grad_u_21, grad_u_22, grad_u_23, grad_u_31, grad_u_32, grad_u_33, uu_11, uu_12, uu_13, uu_21, uu_22, uu_23, uu_31, uu_32, uu_33, u_1, u_2, u_3
4.214587249764312205e-03 2.113068110230344132e+00 5.704077455436434851e-01 2.360739016822746006e-01 0.000000000000000000e+00 9.882464698324000540e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.971166657240601250e-01 -1.175299434121391921e-02 0.000000000000000000e+00 -1.175299434121391921e-02 1.945386926480750095e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.417534384367460987e-01 2.106879044201531048e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.406303450860905357e-03 2.710559003584819937e+00 8.991603943631623075e-01 2.229595594608214937e-01 0.000000000000000000e+00 9.756431836500294441e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.443034910142890981e+00 -2.435593007130204893e-02 0.000000000000000000e+00 -2.435593007130204893e-02 4.434365873319086326e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.508515127101152209e-01 2.693859009447940878e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.756341551752310416e-03 3.387427766652685079e+00 1.329751574268744019e+00 2.078094386859969112e-01 0.000000000000000000e+00 9.544587420427445013e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.172348695641265870e+00 -4.553988370787497714e-02 0.000000000000000000e+00 -4.553988370787497714e-02 8.963558680632964862e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.781908942155895237e-01 3.347489984376931016e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.264486650013891378e-03 4.143566653779762632e+00 1.855487272875258942e+00 1.918593052607366067e-01 0.000000000000000000e+00 9.223411038527602468e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.075313172997648170e+00 -7.765687143509214518e-02 0.000000000000000000e+00 -7.765687143509214518e-02 1.641331528383795091e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.192480574690324424e-01 4.057583857995314069e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.930498675355670102e-03 4.978855300896237956e+00 2.453617784497760912e+00 1.771702078933025115e-01 0.000000000000000000e+00 8.780448396141767864e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.110242798803811937e+00 -1.219522738949165991e-01 0.000000000000000000e+00 -1.219522738949165991e-01 2.769215022065672077e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.693006199710540338e-01 4.810069321208001902e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.175411242783729916e-02 5.893160744676509744e+00 3.088088275970199081e+00 1.655285082053586099e-01 0.000000000000000000e+00 8.219764075182242058e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.208376177768062831e+00 -1.780195633447224091e-01 0.000000000000000000e+00 -1.780195633447224091e-01 4.364162087261679729e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.241587532997188603e-01 5.587707988342272003e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.373503762008342934e-02 6.886337443704698913e+00 3.716981343631517998e+00 1.575722753238583129e-01 0.000000000000000000e+00 7.562468195528191384e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.288550950628435388e+00 -2.437476641463424132e-01 0.000000000000000000e+00 -2.437476641463424132e-01 6.495690880674967471e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.080454827827850961e+00 6.371677517089569420e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.587295892349216073e-02 7.958227301642200935e+00 4.301520976219525672e+00 1.527062280320561904e-01 0.000000000000000000e+00 6.842192357549823356e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.275364209134822069e+00 -3.157734008606042919e-01 0.000000000000000000e+00 -3.157734008606042919e-01 9.212845593368264308e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.235549287370546923e+00 7.143607021801233081e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.816753601842990840e-02 9.108659692393887397e+00 4.813004684035584013e+00 1.496544285458847878e-01 0.000000000000000000e+00 6.097653144983747886e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.113346817138724631e+00 -3.902251829728972110e-01 0.000000000000000000e+00 -3.902251829728972110e-01 1.254012564922472872e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.387261294440194970e+00 7.887489211663753608e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.061840364840438963e-02 1.033745148726882057e+01 5.235687964752406387e+00 1.471316195272288074e-01 0.000000000000000000e+00 5.365227140313701959e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.772990255371988511e+00 -4.634655055808060142e-01 0.000000000000000000e+00 -4.634655055808060142e-01 1.647486661432467081e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.533637007989578027e+00 8.590996829603414042e+00 0.000000000000000000e+00 0.000000000000000000e+00
